ACC_YYMM,STATE_NAME,STATE_CODE,DISTRICT,BRANCH_CODE,BRANCH_NAME,CONTR_DESC,ASSET_MAKE_DESC,ASSET_TYPE,ASSET_LEVEL2_DESC,ASSET_CLASS_DESC,UNITS SOLD
202411,TAMIL NADU,TN,SALEM,928,METTUR,USED VEHICLES,TATA,SWIFT,HATCHBACK,SMALL CARS,1
202411,TAMIL NADU,TN,SALEM,159,SANKARI,NEW VEHICLES,HYUNDAI,SANTRO,HATCHBACK,LUXURY,1
202505,TAMIL NADU,TN,THANJAVUR,338,KUMBAKONAM,NEW VEHICLES,MARUTI,SWIFT,SUV,LUXURY,10
202408,TAMIL NADU,TN,VIRUDHUNAGAR,238,VIRUDHUNAGAR / TRACTOR,USED VEHICLES,MARUTI,CITY,SUV,LUXURY,10
202504,TAMIL NADU,TN,MADURAI,145,MADURAI / COMMERCIAL,USED VEHICLES,HYUNDAI,NEXON,HATCHBACK,MID SIZE,6
202501,TAMIL NADU,TN,CHENNAI,790,CHENNAI - AMBATTUR / DISTRIBUTION,USED VEHICLES,TATA,CITY,HATCHBACK,LUXURY,6
202505,TAMIL NADU,TN,PUDUKKOTTAI,817,ARANTHANGI,USED VEHICLES,TATA,CITY,HATCHBACK,SMALL CARS,7
202412,TAMIL NADU,TN,PERAMBALUR,683,PERAMBALUR,NEW VEHICLES,HYUNDAI,NEXON,SUV,MID SIZE,5
202504,TAMIL NADU,TN,VELLORE,817,VELLORE / TRACTOR,USED VEHICLES,HYUNDAI,NEXON,SEDAN,SMALL CARS,8
202501,TAMIL NADU,TN,SALEM,184,METTUR,USED VEHICLES,MARUTI,CITY,SUV,LUXURY,1
202503,TAMIL NADU,TN,THENI,400,THENI,NEW VEHICLES,HONDA,NEXON,HATCHBACK,MID SIZE,2
202502,TAMIL NADU,TN,CHENNAI,109,CHENNAI - ASHOK NAGAR / RETAIL,USED VEHICLES,HYUNDAI,CITY,HATCHBACK,SMALL CARS,8
202407,TAMIL NADU,TN,NAMAKKAL,298,NAMAKKAL,NEW VEHICLES,MARUTI,SANTRO,SUV,LUXURY,2
202502,TAMIL NADU,TN,TIRUCHIRAPPALLI,841,TRICHY / DISTRIBUTION,NEW VEHICLES,HONDA,CITY,SEDAN,MID SIZE,2
202503,TAMIL NADU,TN,THOOTHUKUDI,854,THOOTHUKUDI,USED VEHICLES,HYUNDAI,SANTRO,SUV,LUXURY,9
202504,TAMIL NADU,TN,CHENNAI,450,CHENNAI - CHROMEPET / COMMERCIAL,USED VEHICLES,HONDA,NEXON,SUV,SMALL CARS,1
202504,TAMIL NADU,TN,VIRUDHUNAGAR,474,VIRUDHUNAGAR / TRACTOR,NEW VEHICLES,TATA,NEXON,HATCHBACK,SMALL CARS,9
202410,TAMIL NADU,TN,TIRUVANNAMALAI,354,TIRUVANNAMALAI,USED VEHICLES,HONDA,NEXON,HATCHBACK,SMALL CARS,2
202506,TAMIL NADU,TN,COIMBATORE,723,COIMBATORE / RETAIL,USED VEHICLES,HONDA,NEXON,SEDAN,LUXURY,3
202411,TAMIL NADU,TN,CUDDALORE,840,CHIDAMBARAM,NEW VEHICLES,HYUNDAI,SWIFT,SUV,LUXURY,7
202409,TAMIL NADU,TN,CHENNAI,768,CHENNAI - VILLIVAKKAM / RETAIL,USED VEHICLES,MARUTI,SWIFT,SEDAN,LUXURY,8
202503,TAMIL NADU,TN,CHENNAI,631,CHENNAI - NANGANALLUR / DISTRIBUTION,USED VEHICLES,TATA,SANTRO,SUV,LUXURY,1
202505,TAMIL NADU,TN,ARIYALUR,666,ARIYALUR,NEW VEHICLES,HYUNDAI,SWIFT,SEDAN,SMALL CARS,10
202409,TAMIL NADU,TN,CHENNAI,269,CHENNAI - VALASARAVAKKAM / DISTRIBUTION,USED VEHICLES,MARUTI,CITY,SEDAN,LUXURY,4
202409,TAMIL NADU,TN,TIRUNELVELI,746,TIRUNELVELI / DISTRIBUTION,NEW VEHICLES,TATA,SANTRO,SUV,SMALL CARS,9
202409,TAMIL NADU,TN,TIRUCHIRAPPALLI,594,TRICHY / RETAIL,NEW VEHICLES,HYUNDAI,CITY,HATCHBACK,SMALL CARS,6
202506,TAMIL NADU,TN,VILLUPPURAM,998,VILLUPPURAM,NEW VEHICLES,HONDA,SANTRO,SEDAN,MID SIZE,2
202503,TAMIL NADU,TN,CHENNAI,440,CHENNAI - WHITES ROAD / COMMERCIAL,NEW VEHICLES,MARUTI,SWIFT,SEDAN,MID SIZE,8
202409,TAMIL NADU,TN,TIRUVALLUR,116,CHENNAI - AVADI,USED VEHICLES,HONDA,NEXON,HATCHBACK,SMALL CARS,4
202502,TAMIL NADU,TN,CHENNAI,790,CHENNAI - AMBATTUR / SME,NEW VEHICLES,MARUTI,CITY,SUV,LUXURY,9
202408,TAMIL NADU,TN,NAMAKKAL,816,NAMAKKAL,NEW VEHICLES,HONDA,NEXON,SEDAN,MID SIZE,6
202504,TAMIL NADU,TN,VELLORE,513,TIRUPATTUR,NEW VEHICLES,HONDA,NEXON,SUV,LUXURY,3
202410,TAMIL NADU,TN,NILGIRIS,649,GUDALUR,USED VEHICLES,HONDA,SANTRO,SEDAN,LUXURY,4
202503,TAMIL NADU,TN,VIRUDHUNAGAR,402,SIVAKASI,NEW VEHICLES,HYUNDAI,SANTRO,HATCHBACK,LUXURY,5
202412,TAMIL NADU,TN,TIRUCHIRAPPALLI,516,TIRUCHIRAPPALLI / SME,USED VEHICLES,TATA,CITY,SEDAN,MID SIZE,3
202408,TAMIL NADU,TN,CHENNAI,763,CHENNAI - NANGANALLUR / DISTRIBUTION,NEW VEHICLES,HYUNDAI,SWIFT,SEDAN,SMALL CARS,1
202408,TAMIL NADU,TN,TIRUVARUR,537,TIRUTHURAIPUNDI,NEW VEHICLES,TATA,CITY,SEDAN,LUXURY,2
202501,TAMIL NADU,TN,COIMBATORE,436,COIMBATORE - MALUMICHAMPATTI / COMMERCIAL,USED VEHICLES,MARUTI,NEXON,SEDAN,MID SIZE,3
202502,TAMIL NADU,TN,TENKASI,833,TENKASI,USED VEHICLES,TATA,NEXON,SUV,LUXURY,4
202506,TAMIL NADU,TN,CHENNAI,239,CHENNAI - ADYAR / DEPOSITS,USED VEHICLES,HYUNDAI,SWIFT,SEDAN,LUXURY,3
202412,TAMIL NADU,TN,THANJAVUR,977,PATTUKOTTAI,NEW VEHICLES,MARUTI,SANTRO,HATCHBACK,MID SIZE,9
202506,TAMIL NADU,TN,SALEM,923,ATTUR / TRACTOR,USED VEHICLES,MARUTI,CITY,SEDAN,SMALL CARS,2
202506,TAMIL NADU,TN,COIMBATORE,648,METTUPALAYAM,NEW VEHICLES,HONDA,CITY,SEDAN,MID SIZE,2
202502,TAMIL NADU,TN,TIRUCHIRAPPALLI,584,TRICHY / COMMERCIAL,NEW VEHICLES,TATA,NEXON,SEDAN,MID SIZE,4
202504,TAMIL NADU,TN,CHENNAI,284,CHENNAI - TAMBARAM / DISTRIBUTION,USED VEHICLES,HYUNDAI,CITY,SEDAN,MID SIZE,10
202502,TAMIL NADU,TN,TIRUCHIRAPPALLI,592,TIRUCHIRAPPALLI / SME,NEW VEHICLES,HONDA,SANTRO,HATCHBACK,SMALL CARS,1
202501,TAMIL NADU,TN,CHENNAI,597,CHENNAI - ASHOK NAGAR / DISTRIBUTION,NEW VEHICLES,HONDA,SWIFT,SEDAN,SMALL CARS,9
202407,TAMIL NADU,TN,TIRUCHIRAPPALLI,699,TRICHY / RETAIL,USED VEHICLES,TATA,SANTRO,HATCHBACK,LUXURY,9
202506,TAMIL NADU,TN,PUDUKKOTTAI,487,ARANTHANGI,NEW VEHICLES,TATA,NEXON,SEDAN,LUXURY,4
202411,TAMIL NADU,TN,CHENGALPATTU,350,MELMARUVATHUR,USED VEHICLES,TATA,SWIFT,SUV,MID SIZE,10
202409,TAMIL NADU,TN,VIRUDHUNAGAR,972,SIVAKASI,USED VEHICLES,MARUTI,SWIFT,SEDAN,MID SIZE,5
202412,TAMIL NADU,TN,TIRUVANNAMALAI,938,TIRUVANNAMALAI,USED VEHICLES,HYUNDAI,CITY,SUV,MID SIZE,2
202412,TAMIL NADU,TN,VIRUDHUNAGAR,676,SIVAKASI,USED VEHICLES,MARUTI,CITY,HATCHBACK,LUXURY,6
202503,TAMIL NADU,TN,TIRUNELVELI,775,TIRUNELVELI,NEW VEHICLES,MARUTI,SWIFT,HATCHBACK,SMALL CARS,9
202502,TAMIL NADU,TN,THENI,965,THENI,NEW VEHICLES,MARUTI,NEXON,HATCHBACK,MID SIZE,10
202408,TAMIL NADU,TN,TIRUNELVELI,744,TIRUNELVELI,NEW VEHICLES,MARUTI,SWIFT,HATCHBACK,SMALL CARS,7
202506,TAMIL NADU,TN,THANJAVUR,247,KUMBAKONAM,USED VEHICLES,TATA,NEXON,SUV,LUXURY,6
202409,TAMIL NADU,TN,CHENNAI,207,CHENNAI - ADYAR / RETAIL,USED VEHICLES,MARUTI,NEXON,SUV,LUXURY,1
202507,TAMIL NADU,TN,ERODE,612,SATHYAMANGALAM,USED VEHICLES,HYUNDAI,CITY,HATCHBACK,MID SIZE,10
202408,TAMIL NADU,TN,KANCHEEPURAM,835,SRIPERUMBUDUR,NEW VEHICLES,HYUNDAI,CITY,SUV,MID SIZE,5
202504,TAMIL NADU,TN,VILLUPPURAM,442,VILLUPPURAM / TRACTOR,USED VEHICLES,HONDA,SANTRO,HATCHBACK,SMALL CARS,1
202407,TAMIL NADU,TN,CUDDALORE,640,VIRUDHACHALAM / TRACTOR,NEW VEHICLES,HONDA,CITY,HATCHBACK,SMALL CARS,9
202504,TAMIL NADU,TN,ERODE,967,DHARAPURAM,NEW VEHICLES,HONDA,NEXON,HATCHBACK,SMALL CARS,3
202503,TAMIL NADU,TN,CHENNAI,835,CHENNAI - TAMBARAM / DISTRIBUTION,NEW VEHICLES,TATA,CITY,SEDAN,LUXURY,1
202506,TAMIL NADU,TN,KANCHEEPURAM,906,SRIPERUMBUDUR,USED VEHICLES,HONDA,SWIFT,SEDAN,LUXURY,2
202504,TAMIL NADU,TN,THENI,538,THENI,USED VEHICLES,HONDA,SANTRO,SUV,MID SIZE,1
202506,TAMIL NADU,TN,DINDIGUL,578,DINDIGUL,USED VEHICLES,TATA,NEXON,SUV,SMALL CARS,5
202504,TAMIL NADU,TN,SALEM,979,ATTUR / TRACTOR,NEW VEHICLES,HYUNDAI,CITY,HATCHBACK,SMALL CARS,5
202411,TAMIL NADU,TN,CHENNAI,228,CHENNAI - CHROMEPET / COMMERCIAL,USED VEHICLES,TATA,SWIFT,SEDAN,SMALL CARS,8
202410,TAMIL NADU,TN,VELLORE,915,GUDIYATHAM,USED VEHICLES,HONDA,SANTRO,HATCHBACK,LUXURY,5
202410,TAMIL NADU,TN,THANJAVUR,751,THANJAVUR,USED VEHICLES,TATA,SWIFT,HATCHBACK,SMALL CARS,9
202412,TAMIL NADU,TN,ERODE,747,GOBICHETTIPALAYAM,NEW VEHICLES,TATA,CITY,SEDAN,LUXURY,3
202409,TAMIL NADU,TN,VIRUDHUNAGAR,493,VIRUDHUNAGAR,USED VEHICLES,TATA,SWIFT,HATCHBACK,MID SIZE,10
202504,TAMIL NADU,TN,THENI,961,THENI,NEW VEHICLES,HONDA,NEXON,HATCHBACK,LUXURY,1
202409,TAMIL NADU,TN,SALEM,146,SANKARI,USED VEHICLES,HYUNDAI,SWIFT,HATCHBACK,MID SIZE,3
202506,TAMIL NADU,TN,TIRUPPUR,549,TIRUPPUR / COMMERCIAL,USED VEHICLES,MARUTI,NEXON,SUV,LUXURY,8
202412,TAMIL NADU,TN,NILGIRIS,680,COONOOR,USED VEHICLES,HONDA,NEXON,SEDAN,MID SIZE,4
202411,TAMIL NADU,TN,DHARMAPURI,739,DHARMAPURI / TRACTOR,USED VEHICLES,HONDA,NEXON,SEDAN,MID SIZE,2
202409,TAMIL NADU,TN,VELLORE,358,TIRUPATTUR,USED VEHICLES,HYUNDAI,SWIFT,HATCHBACK,LUXURY,8
202504,TAMIL NADU,TN,NAMAKKAL,936,PARAMATHI VELUR,NEW VEHICLES,HYUNDAI,SANTRO,SUV,LUXURY,4
202411,TAMIL NADU,TN,CHENNAI,442,CHENNAI - IYYAPANTHANGAL / COMMERCIAL,NEW VEHICLES,MARUTI,NEXON,SUV,SMALL CARS,1
202501,TAMIL NADU,TN,VELLORE,498,VELLORE / COMMERCIAL,USED VEHICLES,HYUNDAI,CITY,SEDAN,MID SIZE,1
202506,TAMIL NADU,TN,NILGIRIS,928,OOTY,NEW VEHICLES,MARUTI,NEXON,SUV,SMALL CARS,2
202412,TAMIL NADU,TN,CHENNAI,154,CHENNAI - PARRYS CORNER / COMMERCIAL,USED VEHICLES,HYUNDAI,SANTRO,HATCHBACK,SMALL CARS,7
202407,TAMIL NADU,TN,CHENNAI,935,CHENNAI - AMBATTUR / SME,USED VEHICLES,HYUNDAI,SANTRO,HATCHBACK,LUXURY,10
202407,TAMIL NADU,TN,CHENNAI,912,CHENNAI - ANNA NAGAR / DEPOSITS,NEW VEHICLES,MARUTI,SWIFT,SUV,SMALL CARS,1
202501,TAMIL NADU,TN,CHENNAI,567,CHENNAI - ASHOK NAGAR / RETAIL,NEW VEHICLES,HYUNDAI,NEXON,HATCHBACK,MID SIZE,5
202505,TAMIL NADU,TN,TIRUCHIRAPPALLI,745,TRICHY / TRACTOR,NEW VEHICLES,TATA,SANTRO,HATCHBACK,LUXURY,8
202505,TAMIL NADU,TN,TIRUCHIRAPPALLI,670,TRICHY / COMMERCIAL,NEW VEHICLES,MARUTI,NEXON,SEDAN,MID SIZE,4
202504,TAMIL NADU,TN,ARIYALUR,114,ARIYALUR,USED VEHICLES,HYUNDAI,CITY,SUV,SMALL CARS,9
202410,TAMIL NADU,TN,RAMANATHAPURAM,130,RAMANATHAPURAM,USED VEHICLES,TATA,SWIFT,SUV,MID SIZE,4
202407,TAMIL NADU,TN,NILGIRIS,837,GUDALUR,NEW VEHICLES,TATA,SANTRO,SEDAN,LUXURY,3
202408,TAMIL NADU,TN,MADURAI,997,MADURAI / COMMERCIAL,USED VEHICLES,MARUTI,NEXON,SUV,SMALL CARS,10
202502,TAMIL NADU,TN,SALEM,499,ATTUR / TRACTOR,USED VEHICLES,MARUTI,CITY,HATCHBACK,SMALL CARS,2
202412,TAMIL NADU,TN,NAMAKKAL,884,TIRUCHENGODE,NEW VEHICLES,HYUNDAI,SWIFT,SUV,SMALL CARS,7
202506,TAMIL NADU,TN,TIRUVANNAMALAI,396,WANDAVASI / TRACTOR,NEW VEHICLES,MARUTI,NEXON,SEDAN,LUXURY,2
202409,TAMIL NADU,TN,SIVAGANGA,452,KARAIKUDI,USED VEHICLES,MARUTI,SANTRO,SEDAN,MID SIZE,4
202409,TAMIL NADU,TN,CHENNAI,866,CHENNAI - VALASARAVAKKAM / DISTRIBUTION,NEW VEHICLES,MARUTI,CITY,SEDAN,MID SIZE,7
202412,TAMIL NADU,TN,CHENNAI,199,CHENNAI - ADYAR / RETAIL,USED VEHICLES,MARUTI,SWIFT,SEDAN,SMALL CARS,8
202503,TAMIL NADU,TN,NILGIRIS,628,GUDALUR,USED VEHICLES,TATA,SWIFT,SUV,SMALL CARS,6
202502,TAMIL NADU,TN,KARUR,358,KARUR,USED VEHICLES,MARUTI,NEXON,SEDAN,MID SIZE,8
202407,TAMIL NADU,TN,TIRUVARUR,408,THIRUVARUR,USED VEHICLES,HONDA,SANTRO,SEDAN,LUXURY,7
202412,TAMIL NADU,TN,KRISHNAGIRI,803,KRISHNAGIRI / TRACTOR,USED VEHICLES,HYUNDAI,CITY,SEDAN,LUXURY,9
202410,TAMIL NADU,TN,CHENGALPATTU,307,MELMARUVATHUR,USED VEHICLES,HYUNDAI,NEXON,SEDAN,MID SIZE,2
202409,TAMIL NADU,TN,THENI,981,THENI,USED VEHICLES,HYUNDAI,CITY,SUV,LUXURY,2
202501,TAMIL NADU,TN,NAMAKKAL,697,PARAMATHI VELUR,NEW VEHICLES,TATA,NEXON,SEDAN,LUXURY,7
202504,TAMIL NADU,TN,TIRUVARUR,261,TIRUTHURAIPUNDI,USED VEHICLES,HYUNDAI,SANTRO,SEDAN,LUXURY,9
202504,TAMIL NADU,TN,TIRUCHIRAPPALLI,890,TRICHY / RETAIL,USED VEHICLES,MARUTI,SWIFT,SEDAN,MID SIZE,6
202506,TAMIL NADU,TN,SALEM,326,METTUR,USED VEHICLES,MARUTI,NEXON,SUV,MID SIZE,4
202505,TAMIL NADU,TN,CHENNAI,398,CHENNAI - ADYAR / RETAIL,NEW VEHICLES,HYUNDAI,NEXON,SUV,MID SIZE,2
202407,TAMIL NADU,TN,MADURAI,559,MADURAI / SME,NEW VEHICLES,HONDA,SWIFT,SEDAN,MID SIZE,9
202409,TAMIL NADU,TN,TENKASI,908,TENKASI,NEW VEHICLES,HONDA,SWIFT,SUV,LUXURY,1
202501,TAMIL NADU,TN,VILLUPPURAM,895,VILLUPPURAM,NEW VEHICLES,HYUNDAI,NEXON,SEDAN,LUXURY,4
202507,TAMIL NADU,TN,COIMBATORE,290,POLLACHI,USED VEHICLES,MARUTI,CITY,SUV,MID SIZE,10
202410,TAMIL NADU,TN,NAMAKKAL,366,PARAMATHI VELUR,USED VEHICLES,HONDA,SWIFT,SEDAN,LUXURY,10
202502,TAMIL NADU,TN,THANJAVUR,613,THANJAVUR,USED VEHICLES,TATA,SANTRO,SEDAN,LUXURY,3
202411,TAMIL NADU,TN,CUDDALORE,620,VIRUDHACHALAM / TRACTOR,NEW VEHICLES,HONDA,SANTRO,SUV,LUXURY,2
202408,TAMIL NADU,TN,TIRUCHIRAPPALLI,547,TRICHY / DISTRIBUTION,NEW VEHICLES,TATA,NEXON,SUV,MID SIZE,2
202412,TAMIL NADU,TN,TIRUCHIRAPPALLI,121,TRICHY / TRACTOR,NEW VEHICLES,HYUNDAI,CITY,HATCHBACK,LUXURY,4
202506,TAMIL NADU,TN,TIRUNELVELI,676,VALLIOOR,USED VEHICLES,HONDA,CITY,SUV,SMALL CARS,2
202410,TAMIL NADU,TN,COIMBATORE,524,METTUPALAYAM,USED VEHICLES,TATA,SANTRO,HATCHBACK,MID SIZE,10
202505,TAMIL NADU,TN,CHENNAI,996,CHENNAI - MYLAPORE / DISTRIBUTION,NEW VEHICLES,HYUNDAI,SWIFT,HATCHBACK,MID SIZE,9
202409,TAMIL NADU,TN,NAMAKKAL,602,NAMAKKAL,NEW VEHICLES,HYUNDAI,SWIFT,HATCHBACK,MID SIZE,8
202503,TAMIL NADU,TN,NAMAKKAL,172,NAMAKKAL,NEW VEHICLES,MARUTI,NEXON,SUV,MID SIZE,10
202407,TAMIL NADU,TN,VIRUDHUNAGAR,902,RAJAPALAYAM,USED VEHICLES,MARUTI,CITY,SUV,MID SIZE,9
202501,TAMIL NADU,TN,CHENGALPATTU,692,MELMARUVATHUR,NEW VEHICLES,HONDA,NEXON,SEDAN,MID SIZE,10
